family,cover,param,SigmaPerCopy,SigmaPerCopyN,stratum,OrderTally,rel1_H1free,rel1_H1torsion,rel1_GammaTally,relB_H1free,relB_H1torsion,relB_GammaTally,GammaCocyclesVerified,OrdersMatchObstruction,CF
"S1","C5-edge(5ctx)","1/5","1","1.","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0"
"S1","C5-edge(5ctx)","3/10","3/2","1.5","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0"
"S1","C5-edge(5ctx)","2/5","2","2.","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0"
"S1","C5-edge(5ctx)","21/50","21/10","2.1","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.199999999996"
"S1","C5-edge(5ctx)","1/Sqrt[5]","Sqrt[5]","2.23606797749979","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.472135954996"
"S1","C5-edge(5ctx)","23/50","23/10","2.3","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.599999999996"
"S1","C5-edge(5ctx)","12/25","12/5","2.4","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.799999999996"
"S1","C5-edge(5ctx)","49/100","49/20","2.45","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.899999999996"
"S1","C5-edge(5ctx)","499/1000","499/200","2.495","A1","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.989999999996"
"S1","C5-edge(5ctx)","1/2","5/2","2.5","W1","{{Infinity, 10}}","1","{}","{{Infinity, 2}}","1","{}","{{Infinity, 2}}","True","True","0.999999999992"
"V1","C5-edge(5ctx)","1/2","(5 + 2*Sqrt[5])/4","2.368033988749895","F1","{{1, 20}}","0","{}","{{1, 4}}","0","{}","{{1, 4}}","True","True","0"
"V1","C5-edge(5ctx)","9/10","1/4 + 9/(2*Sqrt[5])","2.2624611797498106","F1","{{1, 20}}","0","{}","{{1, 4}}","0","{}","{{1, 4}}","True","True","0.2749223595"
"V1","C5-edge(5ctx)","99/100","(5 + 198*Sqrt[5])/200","2.238707297724792","F1","{{1, 20}}","0","{}","{{1, 4}}","0","{}","{{1, 4}}","True","True","0.45241459545"
"V1","C5-edge(5ctx)","1","Sqrt[5]","2.23606797749979","A1x","{{1, 15}}","0","{}","{{1, 3}}","0","{}","{{1, 3}}","True","True","0.472135954996"
"S2","C5vC5(25ctx)","1/5","1","1.","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0"
"S2","C5vC5(25ctx)","3/10","3/2","1.5","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0"
"S2","C5vC5(25ctx)","2/5","2","2.","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0"
"S2","C5vC5(25ctx)","21/50","21/10","2.1","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0.35999999957"
"S2","C5vC5(25ctx)","1/Sqrt[5]","Sqrt[5]","2.23606797749979","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0.721359549616"
"S2","C5vC5(25ctx)","23/50","23/10","2.3","A","{{1, 225}}","0","{}","{{1, 9}}","0","{}","{{1, 9}}","True","True","0.839999999621"
