class_id,config_types,n_blocks,n_meas,n_contexts,lp_value,lp_status,hit_5_2
0,1 12 218,3,10,32,2.000000000000,0,0
1,1 14 218,3,9,24,2.000000000000,0,0
2,1 15 218,3,9,24,2.000000000000,0,0
3,1 22 212,3,10,36,2.000000000000,0,0
4,1 22 218,3,9,24,2.000000000000,0,0
5,1 22 219,3,9,24,2.000000000000,0,0
6,1 66 328,3,9,24,2.000000000000,0,0
7,1 66 340,3,10,36,2.000000000000,0,0
8,1 66 348,3,9,24,2.000000000000,0,0
9,1 67 348,3,9,24,2.000000000000,0,0
10,1 73 73 348,4,10,32,2.000000000000,0,0
11,1 73 74 328,4,10,32,2.000000000000,0,0
12,1 73 74 348,4,10,32,2.000000000000,0,0
13,1 73 79 328,4,10,32,2.000000000000,0,0
14,1 73 79 348,4,10,32,2.000000000000,0,0
15,1 73 95 348,4,10,32,2.000000000000,0,0
16,1 73 97 218,4,10,32,2.000000000000,0,0
17,1 73 97 348,4,10,32,2.000000000000,0,0
18,1 73 98 218,4,10,32,2.000000000000,0,0
19,1 73 98 348,4,10,32,2.000000000000,0,0
20,1 73 218 328,4,10,32,2.000000000000,0,0
21,1 73 218 330,4,10,32,2.000000000000,0,0
22,1 73 218 348,4,10,32,2.000000000000,0,0
23,1 73 218 353,4,10,32,2.000000000000,0,0
24,1 73 219 348,4,10,32,2.000000000000,0,0
25,1 73 219 353,4,10,32,2.000000000000,0,0
26,1 73 222 328,4,10,32,2.000000000000,0,0
27,1 73 222 348,4,10,32,2.000000000000,0,0
28,1 73 328 348,4,10,32,2.000000000000,0,0
29,1 73 328 353,4,10,32,2.000000000000,0,0
30,1 73 329 348,4,10,32,2.000000000000,0,0
31,1 73 329 353,4,10,32,2.000000000000,0,0
32,1 73 347 348,4,10,32,2.000000000000,0,0
33,1 73 347 353,4,10,32,2.000000000000,0,0
34,1 73 348,3,8,16,2.000000000000,0,0
35,1 73 348 348,4,10,32,2.000000000000,0,0
36,1 73 348 353,4,10,32,2.000000000000,0,0
37,1 74 74 328,4,10,32,2.000000000000,0,0
38,1 74 74 348,4,10,32,2.000000000000,0,0
39,1 74 79 328,4,10,32,2.000000000000,0,0
40,1 74 79 348,4,10,32,2.000000000000,0,0
41,1 74 95 328,4,10,32,2.000000000000,0,0
42,1 74 95 348,4,10,32,2.000000000000,0,0
43,1 74 97 218,4,10,32,2.000000000000,0,0
44,1 74 97 219,4,10,32,2.000000000000,0,0
45,1 74 97 328,4,10,32,2.000000000000,0,0
46,1 74 97 329,4,10,32,2.000000000000,0,0
47,1 74 97 347,4,10,32,2.000000000000,0,0
48,1 74 97 348,4,10,32,2.000000000000,0,0
49,1 74 98 218,4,10,32,2.000000000000,0,0
50,1 74 98 219,4,10,32,2.000000000000,0,0
51,1 74 98 328,4,10,32,2.000000000000,0,0
52,1 74 98 329,4,10,32,2.000000000000,0,0
53,1 74 98 347,4,10,32,2.000000000000,0,0
54,1 74 98 348,4,10,32,2.000000000000,0,0
55,1 74 218 328,4,10,32,2.000000000000,0,0
56,1 74 218 348,4,10,32,2.000000000000,0,0
57,1 74 218 353,4,10,32,2.000000000000,0,0
58,1 74 219 328,4,10,32,2.000000000000,0,0
59,1 74 219 348,4,10,32,2.000000000000,0,0
60,1 74 219 353,4,10,32,2.000000000000,0,0
61,1 74 222 328,4,10,32,2.000000000000,0,0
62,1 74 222 348,4,10,32,2.000000000000,0,0
63,1 74 328,3,8,16,2.000000000000,0,0
64,1 74 329 348,4,10,32,2.000000000000,0,0
65,1 74 329 353,4,10,32,2.000000000000,0,0
66,1 74 347 348,4,10,32,2.000000000000,0,0
67,1 74 347 353,4,10,32,2.000000000000,0,0
68,1 74 348,3,8,16,2.000000000000,0,0
69,1 74 348 348,4,10,32,2.000000000000,0,0
70,1 74 348 353,4,10,32,2.000000000000,0,0
71,1 79 97 218,4,10,32,2.000000000000,0,0
72,1 79 97 219,4,10,32,2.000000000000,0,0
73,1 79 97 329,4,10,32,2.000000000000,0,0
74,1 79 97 347,4,10,32,2.000000000000,0,0
75,1 79 97 348,4,10,32,2.000000000000,0,0
76,1 79 98 218,4,10,32,2.000000000000,0,0
77,1 79 98 219,4,10,32,2.000000000000,0,0
78,1 79 98 329,4,10,32,2.000000000000,0,0
79,1 79 98 347,4,10,32,2.000000000000,0,0
80,1 79 98 348,4,10,32,2.000000000000,0,0
81,1 79 218 348,4,10,32,2.000000000000,0,0
82,1 79 218 353,4,10,32,2.000000000000,0,0
83,1 79 219 348,4,10,32,2.000000000000,0,0
84,1 79 219 353,4,10,32,2.000000000000,0,0
85,1 81 348,3,9,24,2.000000000000,0,0
86,1 88 218,3,9,24,2.000000000000,0,0
87,1 88 336,3,10,36,2.000000000000,0,0
88,1 95 97 218,4,10,32,2.000000000000,0,0
89,1 95 98 218,4,10,32,2.000000000000,0,0
90,1 95 218 348,4,10,32,2.000000000000,0,0
91,1 95 218 353,4,10,32,2.000000000000,0,0
92,1 95 219 353,4,10,32,2.000000000000,0,0
93,1 97 97 218,4,10,32,2.000000000000,0,0
94,1 97 98 218,4,10,32,2.000000000000,0,0
95,1 97 218,3,8,16,2.000000000000,0,0
96,1 97 218 218,4,10,32,2.000000000000,0,0
97,1 97 218 219,4,10,32,2.000000000000,0,0
98,1 97 218 222,4,10,32,2.000000000000,0,0
99,1 97 218 347,4,10,32,2.000000000000,0,0
100,1 97 218 348,4,10,32,2.000000000000,0,0
101,1 97 218 353,4,10,32,2.000000000000,0,0
102,1 97 219 222,4,10,32,2.000000000000,0,0
103,1 97 219 353,4,10,32,2.000000000000,0,0
104,1 97 222 347,4,10,32,2.000000000000,0,0
105,1 97 336,3,9,24,2.000000000000,0,0
106,1 98 98 218,4,10,32,2.000000000000,0,0
107,1 98 218,3,8,16,2.000000000000,0,0
108,1 98 218 218,4,10,32,2.000000000000,0,0
109,1 98 218 219,4,10,32,2.000000000000,0,0
110,1 98 218 222,4,10,32,2.000000000000,0,0
111,1 98 218 347,4,10,32,2.000000000000,0,0
112,1 98 218 348,4,10,32,2.000000000000,0,0
113,1 98 218 353,4,10,32,2.000000000000,0,0
114,1 98 219 222,4,10,32,2.000000000000,0,0
115,1 98 219 353,4,10,32,2.000000000000,0,0
116,1 98 222 347,4,10,32,2.000000000000,0,0
117,1 98 336,3,9,24,2.000000000000,0,0
118,1 218 218 348,4,10,32,2.000000000000,0,0
119,1 218 218 353,4,10,32,2.000000000000,0,0
120,1 218 219 348,4,10,32,2.000000000000,0,0
121,1 218 219 353,4,10,32,2.000000000000,0,0
122,1 218 222 348,4,10,32,2.000000000000,0,0
123,1 218 222 353,4,10,32,2.000000000000,0,0
124,1 218 347 353,4,10,32,2.000000000000,0,0
125,1 218 348,3,8,16,2.000000000000,0,0
126,1 218 353,3,8,16,2.000000000000,0,0
127,1 218 353 353,4,10,32,2.000000000000,0,0
128,1 219 219 353,4,10,32,2.000000000000,0,0
129,1 219 222 353,4,10,32,2.000000000000,0,0
130,1 219 353,3,8,16,2.000000000000,0,0
131,9 9 73 328,4,10,36,2.000000000000,0,0
132,9 9 74 328,4,10,36,2.000000000000,0,0
133,9 9 97 218,4,10,36,2.000000000000,0,0
134,9 9 97 219,4,10,36,2.000000000000,0,0
135,9 9 97 328,4,10,36,2.000000000000,0,0
136,9 9 97 329,4,10,36,2.000000000000,0,0
137,9 9 97 347,4,10,36,2.000000000000,0,0
138,9 9 97 348,4,10,36,2.000000000000,0,0
139,9 9 98 219,4,10,36,2.000000000000,0,0
140,9 9 98 328,4,10,36,2.000000000000,0,0
141,9 9 98 329,4,10,36,2.000000000000,0,0
142,9 9 98 347,4,10,36,2.000000000000,0,0
143,9 9 98 348,4,10,36,2.000000000000,0,0
144,9 14 73 218,4,10,36,2.000000000000,0,0
145,9 14 73 219,4,10,36,2.000000000000,0,0
146,9 14 73 328,4,10,36,2.000000000000,0,0
147,9 14 73 329,4,10,36,2.000000000000,0,0
148,9 14 73 347,4,10,36,2.000000000000,0,0
149,9 14 73 348,4,10,36,2.000000000000,0,0
150,9 14 74 218,4,10,36,2.000000000000,0,0
151,9 14 74 219,4,10,36,2.000000000000,0,0
152,9 14 74 328,4,10,36,2.000000000000,0,0
153,9 14 74 329,4,10,36,2.000000000000,0,0
154,9 14 74 347,4,10,36,2.000000000000,0,0
155,9 14 74 348,4,10,36,2.000000000000,0,0
156,9 14 79 218,4,10,36,2.000000000000,0,0
157,9 14 79 219,4,10,36,2.000000000000,0,0
158,9 14 95 218,4,10,36,2.000000000000,0,0
159,9 14 95 219,4,10,36,2.000000000000,0,0
160,9 14 97 218,4,10,36,2.000000000000,0,0
161,9 14 97 219,4,10,36,2.000000000000,0,0
162,9 14 97 328,4,10,36,2.000000000000,0,0
163,9 14 97 329,4,10,36,2.000000000000,0,0
164,9 14 97 347,4,10,36,2.000000000000,0,0
165,9 14 97 348,4,10,36,2.000000000000,0,0
166,9 14 98 218,4,10,36,2.000000000000,0,0
167,9 14 98 219,4,10,36,2.000000000000,0,0
168,9 14 98 328,4,10,36,2.000000000000,0,0
169,9 14 98 329,4,10,36,2.000000000000,0,0
170,9 14 98 347,4,10,36,2.000000000000,0,0
171,9 14 98 348,4,10,36,2.000000000000,0,0
172,9 14 212,3,9,27,2.000000000000,0,0
173,9 14 218,3,8,18,2.000000000000,0,0
174,9 14 218 218,4,10,36,2.000000000000,0,0
175,9 14 218 219,4,10,36,2.000000000000,0,0
176,9 14 218 222,4,10,36,2.000000000000,0,0
177,9 14 218 328,4,10,36,2.000000000000,0,0
178,9 14 218 329,4,10,36,2.000000000000,0,0
179,9 14 218 330,4,10,36,2.000000000000,0,0
180,9 14 218 347,4,10,36,2.000000000000,0,0
181,9 14 218 348,4,10,36,2.000000000000,0,0
182,9 14 218 353,4,10,36,2.000000000000,0,0
183,9 14 219,3,8,18,2.000000000000,0,0
184,9 14 219 219,4,10,36,2.000000000000,0,0
185,9 14 219 222,4,10,36,2.000000000000,0,0
186,9 14 219 328,4,10,36,2.000000000000,0,0
187,9 14 219 329,4,10,36,2.000000000000,0,0
188,9 14 219 330,4,10,36,2.000000000000,0,0
189,9 14 219 347,4,10,36,2.000000000000,0,0
190,9 14 219 348,4,10,36,2.000000000000,0,0
191,9 14 219 353,4,10,36,2.000000000000,0,0
192,9 15 73 218,4,10,36,2.000000000000,0,0
193,9 15 73 219,4,10,36,2.000000000000,0,0
194,9 15 73 328,4,10,36,2.000000000000,0,0
195,9 15 73 329,4,10,36,2.000000000000,0,0
196,9 15 73 347,4,10,36,2.000000000000,0,0
197,9 15 73 348,4,10,36,2.000000000000,0,0
198,9 15 74 218,4,10,36,2.000000000000,0,0
199,9 15 74 219,4,10,36,2.000000000000,0,0
200,9 15 74 328,4,10,36,2.000000000000,0,0
201,9 15 74 329,4,10,36,2.000000000000,0,0
202,9 15 74 347,4,10,36,2.000000000000,0,0
203,9 15 74 348,4,10,36,2.000000000000,0,0
204,9 15 79 218,4,10,36,2.000000000000,0,0
205,9 15 79 219,4,10,36,2.000000000000,0,0
